sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,term,conceptId,conceptName,conceptClass,vocabulary,conceptCode,validStartDate,validEndDate,invalidReason,domains,additionalInformation
FEU/mL,Fibrinogen Equivelent Units per Milliliter,0,,0.7769544720649719,UNCHECKED,microgram of fibrinogen equivalent unit per milliliter,8989,microgram of fibrinogen equivalent unit per milliliter,Unit,UCUM,ug{FEU}/mL,19700101,20991231,,Unit,
Filter,Filter,0,,0.3295249342918396,UNCHECKED,film,45756932,film,Qualifier Value,SNOMED,10693511000001104,19700101,20991231,,Unit,
Fluid,Fluid,0,,0.41879701614379883,UNCHECKED,fluid dram (US),9301,fluid dram (US),Unit,UCUM,[fdr_us],19700101,20991231,,Unit,
g/dL,Grams per Deciliter,0,,0.7404975891113281,UNCHECKED,gram per deciliter,8713,gram per deciliter,Unit,UCUM,g/dL,19700101,20991231,,Unit,
GIV,Gliadin Index Value,0,,0.6305768489837646,UNCHECKED,lyme index value,44777565,lyme index value,Unit,UCUM,[LIV],19700101,20991231,,Unit,
g/L,Grams per Liter,0,,0.6341919302940369,UNCHECKED,gram per liter,8636,gram per liter,Unit,UCUM,g/L,19700101,20991231,,Unit,
g/L/mL,Grams per Liter per Milliliter,0,,0.734148383140564,UNCHECKED,gram per milliliter,9514,gram per milliliter,Unit,UCUM,g/mL,19700101,20991231,,Unit,
GPS,Phosphatidylserine IgG Units,0,,0.5635746717453003,UNCHECKED,anti-phosphatidylserine IgG concentration (GPS) unit,8487,anti-phosphatidylserine IgG concentration (GPS) unit,Unit,UCUM,[GPS'U],19700101,20991231,,Unit,
[gal_us],Gallon,0,,0.5662276148796082,UNCHECKED,winchester gallon,9316,winchester gallon,Unit,UCUM,[gal_wi],19700101,20991231,,Unit,
[gr],Grain,0,,1.0,APPROVED,grain,9319,grain,Unit,UCUM,[gr],19700101,20991231,,Unit,
INH,Inhalation,0,,0.2833305895328522,UNCHECKED,percent inhibition,8738,percent inhibition,Unit,UCUM,%{inhibition},19700101,20991231,,Unit,
{ISR},Immune Status Ratio,0,,0.9977773427963257,APPROVED,immune status ratio,8488,immune status ratio,Unit,UCUM,{ISR},19700101,20991231,,Unit,
[iU],International Unit,0,,0.9940547347068787,APPROVED,international unit,8718,international unit,Unit,UCUM,[iU],19700101,20991231,,Unit,
[IU]/(2.h),International Unit per 2 Hour,0,,0.801978588104248,UNCHECKED,international unit per hour,9687,international unit per hour,Unit,UCUM,[iU]/h,19700101,20991231,,Unit,
[IU]/L,International Unit per Liter,0,,0.983172595500946,APPROVED,international unit per liter,8923,international unit per liter,Unit,UCUM,[iU]/L,19700101,20991231,,Unit,
[iU]/mL,International Unit per Milliliter,0,,0.9816725254058838,APPROVED,international unit per milliliter,8985,international unit per milliliter,Unit,UCUM,[iU]/mL,19700101,20991231,,Unit,
{index_val},Index Value,0,,0.8239193558692932,UNCHECKED,lyme index value,44777565,lyme index value,Unit,UCUM,[LIV],19700101,20991231,,Unit,
IgG/PL,IgG per Platelet,0,,0.3422704339027405,UNCHECKED,nanomole per billion platelets,44777628,nanomole per billion platelets,Unit,UCUM,nmol/10*9.{platelets},19700101,20991231,,Unit,
IgG/RC,IgG/RC,0,,0.11141221970319748,UNCHECKED,IgG phospholipid unit,9100,IgG phospholipid unit,Unit,UCUM,[GPL'U],19700101,20991231,,Unit,
{index_val},Index,0,,0.4886537492275238,UNCHECKED,avidity index,8478,avidity index,Unit,UCUM,{ai},19700101,20991231,,Unit,
Inj,Injection,0,,0.3897499740123749,UNCHECKED,section,9401,section,Unit,UCUM,[sct],19700101,20991231,,Unit,
Jar,Jar,0,,0.03753788769245148,UNCHECKED,are,9453,are,Unit,UCUM,ar,19700101,20991231,,Unit,
10*3,Thousand,0,,1.0,APPROVED,thousand,8566,thousand,Unit,UCUM,10*3,19700101,20991231,,Unit,
K/L,Thousand per Liter,0,,0.9987547993659973,APPROVED,thousand per liter,9435,thousand per liter,Unit,UCUM,10*3/L,19700101,20991231,,Unit,
K/mm3,Thousand per Cubic Millimeter,0,,0.9994575381278992,APPROVED,thousand per cubic millimeter,8961,thousand per cubic millimeter,Unit,UCUM,10*3/mm3,19700101,20991231,,Unit,
10*3/uL,Thousand per Microliter,0,,0.9991208910942078,APPROVED,thousand per microliter,8848,thousand per microliter,Unit,UCUM,10*3/uL,19700101,20991231,,Unit,
KIU/L,Thousand International Unit per Liter,0,,0.7971877455711365,UNCHECKED,international unit per liter,8923,international unit per liter,Unit,UCUM,[iU]/L,19700101,20991231,,Unit,
Kit,Kit,0,,0.14873912930488586,UNCHECKED,kiloliter,9535,kiloliter,Unit,UCUM,kL,19700101,20991231,,Unit,
L,Liter,0,,1.0,APPROVED,liter,8519,liter,Unit,UCUM,L,19700101,20991231,,Unit,
L/min,Liters per Minute,0,,0.7955189347267151,UNCHECKED,liter per minute,8698,liter per minute,Unit,UCUM,L/min,19700101,20991231,,Unit,
L/sec,Liters per Second,0,,0.7038724422454834,UNCHECKED,per second,44777659,per second,Unit,UCUM,/s,19700101,20991231,,Unit,
{Lyme_index_value},Lyme Index Value,0,,1.0,APPROVED,lyme index value,44777565,lyme index value,Unit,UCUM,[LIV],19700101,20991231,,Unit,
m/uL,Moles per MicroLiter,0,,0.8189930319786072,UNCHECKED,per microliter,8647,per microliter,Unit,UCUM,/uL,19700101,20991231,,Unit,
mg/L,Milligrams per Liter,0,,0.7712488770484924,UNCHECKED,milligram per liter,8751,milligram per liter,Unit,UCUM,mg/L,19700101,20991231,,Unit,
10*6/mL,Million per Milliliter,0,,0.9311076402664185,APPROVED,million per milliliter,8816,million per milliliter,Unit,UCUM,10*6/mL,19700101,20991231,,Unit,
MILC,Mixed Leukocyte Culture,0,,0.23189705610275269,UNCHECKED,50% tissue culture infectious dose,9414,50% tissue culture infectious dose,Unit,UCUM,[tcid_50],19700101,20991231,,Unit,
m[IU]/mL,MilliInternational Units per Milliliter,0,,0.7300882935523987,UNCHECKED,international unit per milliliter,8985,international unit per milliliter,Unit,UCUM,[iU]/mL,19700101,20991231,,Unit,
MMO,MMO,0,,0.4375990629196167,UNCHECKED,mmol/ml,45756941,mmol/ml,Qualifier Value,SNOMED,3316311000001109,19700101,20991231,,Unit,
MPS,Millipoise,0,,0.6083630323410034,UNCHECKED,centipoise,8479,centipoise,Unit,UCUM,cP,19700101,20991231,,Unit,
10*6,Million Units,0,,0.9073837399482727,UNCHECKED,Million unit,9689,Million unit,Unit,UCUM,10*6.[U],19700101,20991231,,Unit,
nmol/L,Nanomoles per Liter,0,,0.867688775062561,UNCHECKED,nanomole per liter,8736,nanomole per liter,Unit,UCUM,nmol/L,19700101,20991231,,Unit,
PC,Piece,0,,1.0,APPROVED,piece,45756973,piece,Qualifier Value,SNOMED,3321411000001104,19700101,20991231,,Unit,
pmol/L,Picomoles per Liter,0,,0.8530632853507996,UNCHECKED,picomole per liter,8729,picomole per liter,Unit,UCUM,pmol/L,19700101,20991231,,Unit,
Package,Package,0,,0.5296392440795898,UNCHECKED,pack,45756954,pack,Qualifier Value,SNOMED,3318211000001100,19700101,20991231,,Unit,
Pad,Pad,0,,0.11169303953647614,UNCHECKED,radian,9636,radian,Unit,UCUM,rad,19700101,20991231,,Unit,
Pump,Pump,0,,0.08045896142721176,UNCHECKED,ampere,8543,ampere,Unit,UCUM,A,19700101,20991231,,Unit,
{ratio},Ratio,0,,1.0,APPROVED,ratio,8523,ratio,Unit,UCUM,{ratio},19700101,20991231,,Unit,
Roll,Roll,0,,1.0,APPROVED,roll,45756959,roll,Qualifier Value,SNOMED,3318811000001104,19700101,20991231,,Unit,
Set,Set,0,,0.07616327702999115,UNCHECKED,dose,45756948,dose,Qualifier Value,SNOMED,3317411000001100,19700101,20991231,,Unit,
Spring,Spring,0,,0.21347032487392426,UNCHECKED,printer's pica,9377,printer's pica,Unit,UCUM,[pca_pr],19700101,20991231,,Unit,
Sq,Square,0,,0.8455309867858887,UNCHECKED,square meter,8617,square meter,Unit,UCUM,m2,19700101,20991231,,Unit,
Sqrt,Squirt,0,,0.3962588608264923,UNCHECKED,square meter,8617,square meter,Unit,UCUM,m2,19700101,20991231,,Unit,
Stick,Stick,0,,0.21623094379901886,UNCHECKED,pack,45756954,pack,Qualifier Value,SNOMED,3318211000001100,19700101,20991231,,Unit,
Strip,Strip,0,,1.0,APPROVED,strip,45756962,strip,Qualifier Value,SNOMED,3319111000001104,19700101,20991231,,Unit,
Syringe,Syringe,0,,1.0,APPROVED,syringe,45756963,syringe,Qualifier Value,SNOMED,3319311000001102,19700101,20991231,,Unit,
{tbl},Tablet,0,,1.0,APPROVED,tablet,9431,tablet,Unit,UCUM,{tbl},19700101,20991231,,Unit,
TU,Tuberculin Units,0,,0.9264439940452576,UNCHECKED,tuberculin unit,9413,tuberculin unit,Unit,UCUM,[tb'U],19700101,20991231,,Unit,
[tbs_us],Tablespoon,0,,1.0,APPROVED,tablespoon,9412,tablespoon,Unit,UCUM,[tbs_us],19700101,20991231,,Unit,
Test,Test,0,,0.26213544607162476,UNCHECKED,trimester,44777661,trimester,Unit,UCUM,3.mo,19700101,20991231,,Unit,
Time,Time,0,,0.7255908846855164,UNCHECKED,times,8524,times,Unit,UCUM,.,19700101,20991231,,Unit,
{titer},Titer,0,,1.0,APPROVED,titer,8525,titer,Unit,UCUM,{titer},19700101,20991231,,Unit,
Topical,Topical,0,,0.6305297613143921,UNCHECKED,pica,9376,pica,Unit,UCUM,[pca],19700101,20991231,,Unit,
[tsp_us],Teaspoon,0,,1.0,APPROVED,teaspoon,9416,teaspoon,Unit,UCUM,[tsp_us],19700101,20991231,,Unit,
Tube,Tube,0,,0.5329185724258423,UNCHECKED,tuberculin unit,9413,tuberculin unit,Unit,UCUM,[tb'U],19700101,20991231,,Unit,
U,Unit,0,,1.0,APPROVED,unit,45756942,unit,Qualifier Value,SNOMED,3316411000001102,19700101,20991231,,Unit,
U/g,Units per Gram,0,,0.7131016254425049,UNCHECKED,unit per gram,8629,unit per gram,Unit,UCUM,[U]/g,19700101,20991231,,Unit,
U/h,Units per Hour,0,,0.7276866436004639,UNCHECKED,unit per hour,8630,unit per hour,Unit,UCUM,[U]/h,19700101,20991231,,Unit,
U/mL,Units per Milliliter,0,,0.8135437965393066,UNCHECKED,unit per milliliter,8763,unit per milliliter,Unit,UCUM,[U]/mL,19700101,20991231,,Unit,
ug/(24.h),Micrograms per 24 Hours,0,,0.8509307503700256,UNCHECKED,microgram per 24 hours,8906,microgram per 24 hours,Unit,UCUM,ug/(24.h),19700101,20991231,,Unit,
ug/d,Micrograms per Day,0,,0.6249946355819702,UNCHECKED,microgram,9655,microgram,Unit,UCUM,ug,19700101,20991231,,Unit,
ug/dL,Micrograms per Deciliter,0,,0.8085452914237976,UNCHECKED,microgram per deciliter,8837,microgram per deciliter,Unit,UCUM,ug/dL,19700101,20991231,,Unit,
Unknown,Unknown,0,,0.21719375252723694,UNCHECKED,township,9417,township,Unit,UCUM,[twp],19700101,20991231,,Unit,
Uptake,Uptake,0,,0.8038100600242615,UNCHECKED,percent uptake,8649,percent uptake,Unit,UCUM,%{uptake},19700101,20991231,,Unit,
VL,Vial,0,,0.09602247178554535,UNCHECKED,device,45756958,device,Qualifier Value,SNOMED,3318711000001107,19700101,20991231,,Unit,
Vol,Volume,0,,0.7827749252319336,UNCHECKED,volume percent volume,45891010,volume percent volume,Unit,UCUM,{vol}%{vol},19700101,20991231,,Unit,
Wafer,Wafer,0,,0.13048170506954193,UNCHECKED,watt,9678,watt,Unit,UCUM,W,19700101,20991231,,Unit,
10*12,Trillion,0,,0.8612178564071655,UNCHECKED,per trillion,9239,per trillion,Unit,UCUM,/10*12,19700101,20991231,,Unit,
10*3,Thousand,0,,1.0,APPROVED,thousand,8566,thousand,Unit,UCUM,10*3,19700101,20991231,,Unit,
10*4,10 Thousand,0,,0.7242221236228943,UNCHECKED,thousand,8566,thousand,Unit,UCUM,10*3,19700101,20991231,,Unit,
10*6,Million,0,,1.0,APPROVED,million,8549,million,Unit,UCUM,10*6,19700101,20991231,,Unit,
10*8,100 Million,0,,0.769877016544342,UNCHECKED,million,8549,million,Unit,UCUM,10*6,19700101,20991231,,Unit,
10*9,Billion,0,,1.0,APPROVED,billion,44777660,billion,Unit,UCUM,10*9,19700101,20991231,,Unit,
bpm,Beats per Minute,0,,0.6631693243980408,UNCHECKED,per minute,8541,per minute,Unit,UCUM,/min,19700101,20991231,,Unit,
Cap,Cap,0,,0.11985833942890167,UNCHECKED,application,45891000,application,Unit,UCUM,[App],19700101,20991231,,Unit,
cm,Centimeter,0,,1.0,APPROVED,centimeter,8582,centimeter,Unit,UCUM,cm,19700101,20991231,,Unit,
cm2,Square Centimeter,0,,1.0,APPROVED,square centimeter,9483,square centimeter,Unit,UCUM,cm2,19700101,20991231,,Unit,
cm3,Cubic Centimeter,0,,1.0,APPROVED,cubic centimeter,44777662,cubic centimeter,Unit,UCUM,cm3,19700101,20991231,,Unit,
cmH20,Centimeters Water,0,,0.5885848999023438,UNCHECKED,centimeter,8582,centimeter,Unit,UCUM,cm,19700101,20991231,,Unit,
fL,Femtoliter,0,,1.0,APPROVED,femtoliter,8583,femtoliter,Unit,UCUM,fL,19700101,20991231,,Unit,
[ft_us],Foot,0,,0.5161518454551697,UNCHECKED,cubic foot,9277,cubic foot,Unit,UCUM,[cft_i],19700101,20991231,,Unit,
[sft_i],Square Foot,0,,1.0,APPROVED,square foot,9403,square foot,Unit,UCUM,[sft_i],19700101,20991231,,Unit,
g,Gram,0,,1.0,APPROVED,gram,8504,gram,Unit,UCUM,g,19700101,20991231,,Unit,
g/24h,Grams per 24 hours,0,,0.8126096725463867,UNCHECKED,gram per 24 hours,8807,gram per 24 hours,Unit,UCUM,g/(24.h),19700101,20991231,,Unit,
g/12h,Grams per 12 hours,0,,0.8042951226234436,UNCHECKED,gram per 12 hours,44777593,gram per 12 hours,Unit,UCUM,g/(12.h),19700101,20991231,,Unit,
gm/24h REMOVE,gm/24h REMOVE,0,,0.13095025718212128,UNCHECKED,glove,45756974,glove,Qualifier Value,SNOMED,3321511000001100,19700101,20991231,,Unit,
granules,Granules,0,,0.3028278648853302,UNCHECKED,gram,8504,gram,Unit,UCUM,g,19700101,20991231,,Unit,
gum,Gum,0,,0.09901761263608932,UNCHECKED,baguette,45756943,baguette,Qualifier Value,SNOMED,3316811000001100,19700101,20991231,,Unit,
h,Hour,0,,1.0,APPROVED,hour,8505,hour,Unit,UCUM,h,19700101,20991231,,Unit,
[in_us],Inch,0,,0.5474141836166382,UNCHECKED,pouce french inch,9386,pouce french inch,Unit,UCUM,[pouce],19700101,20991231,,Unit,
kU/L,Kilounits per Liter,0,,0.8290921449661255,UNCHECKED,kilounit per liter,8810,kilounit per liter,Unit,UCUM,10*3.[U]/L,19700101,20991231,,Unit,
kCal,Kilocalorie,0,,0.7465049028396606,UNCHECKED,kilocalories per ounce,9528,kilocalories per ounce,Unit,UCUM,kcal/[oz_av],19700101,20991231,,Unit,
kg,Kilogram,0,,1.0,APPROVED,kilogram,9529,kilogram,Unit,UCUM,kg,19700101,20991231,,Unit,
[lb_av],Pound,0,,0.4955168068408966,UNCHECKED,pound (US),8739,pound (US),Unit,UCUM,[lb_us],19700101,20991231,,Unit,
[lg],Log,0,,0.31890517473220825,UNCHECKED,kilogram,9529,kilogram,Unit,UCUM,kg,19700101,20991231,,Unit,
[lg],Log 10,0,,0.40111592411994934,UNCHECKED,log reduction,8623,log reduction,Unit,UCUM,lg({reduction}),19700101,20991231,,Unit,
lozenge,Lozenge (Pastille),0,,0.46593624353408813,UNCHECKED,pastille,45756955,pastille,Qualifier Value,SNOMED,3318311000001108,19700101,20991231,,Unit,
m,Meter,0,,1.0,APPROVED,meter,9546,meter,Unit,UCUM,m,19700101,20991231,,Unit,
M/dL,Meter per Deciliter,0,,0.8806080222129822,UNCHECKED,per deciliter,9245,per deciliter,Unit,UCUM,/dL,19700101,20991231,,Unit,
m2,Square Meter,0,,1.0,APPROVED,square meter,8617,square meter,Unit,UCUM,m2,19700101,20991231,,Unit,
meq,Milliequivalent,0,,1.0,APPROVED,milliequivalent,9551,milliequivalent,Unit,UCUM,10*-3.eq,19700101,20991231,,Unit,
meq/L,Milliequivalents per Liter,0,,0.9243616461753845,UNCHECKED,milliequivalent per liter,9557,milliequivalent per liter,Unit,UCUM,10*-3.eq/L,19700101,20991231,,Unit,
meq/day,Milliequivalents per Day,0,,0.8503977060317993,UNCHECKED,milliequivalent,9551,milliequivalent,Unit,UCUM,10*-3.eq,19700101,20991231,,Unit,
meq/kg,Milliequivalents per Kilogram,0,,0.9426230788230896,APPROVED,milliequivalent per kilogram,9556,milliequivalent per kilogram,Unit,UCUM,10*-3.eq/kg,19700101,20991231,,Unit,
meq/vol,Milliequivalents per Total Volume,0,,0.785481870174408,UNCHECKED,milliequivalent,9551,milliequivalent,Unit,UCUM,10*-3.eq,19700101,20991231,,Unit,
m[IU]/L,MilliInternational Units per Liter,0,,0.6074325442314148,UNCHECKED,international unit per liter,8923,international unit per liter,Unit,UCUM,[iU]/L,19700101,20991231,,Unit,
mL,Milliliter,0,,0.982313871383667,APPROVED,milliliter,8587,milliliter,Unit,UCUM,mL,19700101,20991231,,Unit,
mL/day,Milliliters per Day,0,,0.6894015073776245,UNCHECKED,milliliter per milliliter,45891033,milliliter per milliliter,Unit,UCUM,mL/mL,19700101,20991231,,Unit,
mL/min,Milliliters per Minute,0,,0.861038327217102,UNCHECKED,milliliter per minute,8795,milliliter per minute,Unit,UCUM,mL/min,19700101,20991231,,Unit,
mosm,Milliosmoles,0,,0.9653417468070984,APPROVED,milliosmole,8605,milliosmole,Unit,UCUM,mosm,19700101,20991231,,Unit,
mosm/kg,Milliosmoles per Kilogram,0,,0.9388004541397095,APPROVED,milliosmole per kilogram,8862,milliosmole per kilogram,Unit,UCUM,mosm/kg,19700101,20991231,,Unit,
mcU/mL,MicroUnit per Milliliter,0,,0.9855559468269348,APPROVED,microunit per milliliter,8860,microunit per milliliter,Unit,UCUM,10*-6.[U]/mL,19700101,20991231,,Unit,
ug,Microgram,0,,1.0,APPROVED,microgram,9655,microgram,Unit,UCUM,ug,19700101,20991231,,Unit,
ug/L,Micrograms per Liter,0,,0.7566441893577576,UNCHECKED,microgram per liter,8748,microgram per liter,Unit,UCUM,ug/L,19700101,20991231,,Unit,
ug/d dup,Micrograms per Day dup,0,,0.5362853407859802,UNCHECKED,microgram,9655,microgram,Unit,UCUM,ug,19700101,20991231,,Unit,
ug/dL dup,Micrograms per Deciliter dup,0,,0.7386212348937988,UNCHECKED,microgram per deciliter,8837,microgram per deciliter,Unit,UCUM,ug/dL,19700101,20991231,,Unit,
ug/h,Micrograms per Hour,0,,0.7765976190567017,UNCHECKED,microgram per hour,44777645,microgram per hour,Unit,UCUM,ug/h,19700101,20991231,,Unit,
ug/mL,Micrograms per Milliliter,0,,0.8229411244392395,UNCHECKED,microgram per milliliter,8859,microgram per milliliter,Unit,UCUM,ug/mL,19700101,20991231,,Unit,
mg,Milligram,0,,1.0,APPROVED,milligram,8576,milligram,Unit,UCUM,mg,19700101,20991231,,Unit,
mg%,Milligram %,0,,0.8832687735557556,UNCHECKED,milligram,8576,milligram,Unit,UCUM,mg,19700101,20991231,,Unit,
mg/0.5 mL,Milligrams per 0.5 Milliliters,0,,0.6263707876205444,UNCHECKED,milligram per milliliter,8861,milligram per milliliter,Unit,UCUM,mg/mL,19700101,20991231,,Unit,
mg/(12.h),Milligrams per 12 Hours,0,,0.8533366918563843,UNCHECKED,milligram per 12 hours,8908,milligram per 12 hours,Unit,UCUM,mg/(12.h),19700101,20991231,,Unit,
mg/24h,Milligrams per 24 Hours,0,,0.8580485582351685,UNCHECKED,milligram per 24 hours,8909,milligram per 24 hours,Unit,UCUM,mg/(24.h),19700101,20991231,,Unit,
mg/dL,Milligrams per Deciliter,0,,0.8116642236709595,UNCHECKED,milligram per deciliter,8840,milligram per deciliter,Unit,UCUM,mg/dL,19700101,20991231,,Unit,
mg/day,Milligrams per Day,0,,0.6557328104972839,UNCHECKED,milligram,8576,milligram,Unit,UCUM,mg,19700101,20991231,,Unit,
mg/g,Milligrams per Gram,0,,0.7404817938804626,UNCHECKED,milligram per gram,8723,milligram per gram,Unit,UCUM,mg/g,19700101,20991231,,Unit,
mg/h,Milligrams per Hour,0,,0.7922528386116028,UNCHECKED,milligram per hour,44777610,milligram per hour,Unit,UCUM,mg/h,19700101,20991231,,Unit,
mg/kg,Milligrams per Kilogram,0,,0.823708176612854,UNCHECKED,milligram per kilogram,9562,milligram per kilogram,Unit,UCUM,mg/kg,19700101,20991231,,Unit,
