sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,term,conceptId,conceptName,conceptClass,vocabulary,conceptCode,validStartDate,validEndDate,invalidReason,domains,additionalInformation
mg/tv,Milligrams per Total Volume,0,,0.8397085070610046,UNCHECKED,milligram per total volume,9560,milligram per total volume,Unit,UCUM,mg/{tot'vol},19700101,20991231,,Unit,
mg/vol,Milligrams per Volume,0,,0.8044805526733398,UNCHECKED,milligram per volume,9561,milligram per volume,Unit,UCUM,mg/{vol},19700101,20991231,,Unit,
10*6/uL,Million per Microliter,0,,0.9902943968772888,APPROVED,million per microliter,8815,million per microliter,Unit,UCUM,10*6/uL,19700101,20991231,,Unit,
min,Minute,0,,1.0,APPROVED,minute,9211,minute,Unit,UCUM,',19700101,20991231,,Unit,
mL/(4.h),Milliliters per 4 Hours,0,,0.6973192691802979,UNCHECKED,milliliter per 24 hours,8930,milliliter per 24 hours,Unit,UCUM,mL/(24.h),19700101,20991231,,Unit,
mL/dL,Milliliters per Decililter,0,,0.7476629614830017,UNCHECKED,milliliter per deciliter,9570,milliliter per deciliter,Unit,UCUM,mL/dL,19700101,20991231,,Unit,
mL/h,Milliliters per Hour,0,,0.8591633439064026,UNCHECKED,milliliter per hour,44777613,milliliter per hour,Unit,UCUM,mL/h,19700101,20991231,,Unit,
mL/kg,Milliliters per Kilogram,0,,0.8939961791038513,UNCHECKED,milliliter per kilogram,9571,milliliter per kilogram,Unit,UCUM,mL/kg,19700101,20991231,,Unit,
mlU/mL dup,Milli IU/Milliliter dup,0,,0.509421706199646,UNCHECKED,milliliter,8587,milliliter,Unit,UCUM,mL,19700101,20991231,,Unit,
mm,Millimeter,0,,1.0,APPROVED,millimeter,8588,millimeter,Unit,UCUM,mm,19700101,20991231,,Unit,
mm/(24.h),Millimeters per 24 Hours,0,,0.7959583401679993,UNCHECKED,millimole per 24 hours,8910,millimole per 24 hours,Unit,UCUM,mmol/(24.h),19700101,20991231,,Unit,
mm/L,Millimeters per Liter,0,,0.6951419115066528,UNCHECKED,millimeter,8588,millimeter,Unit,UCUM,mm,19700101,20991231,,Unit,
mm/h,Millimeters per Hour,0,,0.8528109192848206,UNCHECKED,millimeter per hour,8752,millimeter per hour,Unit,UCUM,mm/h,19700101,20991231,,Unit,
mm2,Square Millimeter,0,,1.0,APPROVED,square millimeter,9572,square millimeter,Unit,UCUM,mm2,19700101,20991231,,Unit,
mm3,Cubic Millimeter,0,,1.0,APPROVED,cubic millimeter,8686,cubic millimeter,Unit,UCUM,mm3,19700101,20991231,,Unit,
mmH2O,Millimeters Water,0,,0.6802637577056885,UNCHECKED,millimeter,8588,millimeter,Unit,UCUM,mm,19700101,20991231,,Unit,
mm[Hg],Millimeters Mercury,0,,0.6710922122001648,UNCHECKED,millimeter mercury column,8876,millimeter mercury column,Unit,UCUM,mm[Hg],19700101,20991231,,Unit,
mmol,Millimoles,0,,0.9531146287918091,APPROVED,millimole,9573,millimole,Unit,UCUM,mmol,19700101,20991231,,Unit,
mmol/(24.h),Millimoles per 24 Hours,0,,0.9348251223564148,APPROVED,millimole per 24 hours,8910,millimole per 24 hours,Unit,UCUM,mmol/(24.h),19700101,20991231,,Unit,
mmol/L,Millimoles per Liter,0,,0.8857247829437256,UNCHECKED,millimole per liter,8753,millimole per liter,Unit,UCUM,mmol/L,19700101,20991231,,Unit,
mmu,Millimass Unit,0,,0.5747801661491394,UNCHECKED,Million unit,9689,Million unit,Unit,UCUM,10*6.[U],19700101,20991231,,Unit,
mol,Moles,0,,0.8278785347938538,UNCHECKED,mole,9584,mole,Unit,UCUM,mol,19700101,20991231,,Unit,
mol/L,Moles per Liter,0,,0.7970819473266602,UNCHECKED,mole per liter,9586,mole per liter,Unit,UCUM,mol/L,19700101,20991231,,Unit,
mol/dL,Moles per Deciliter,0,,0.806283175945282,UNCHECKED,per deciliter,9245,per deciliter,Unit,UCUM,/dL,19700101,20991231,,Unit,
mol/m,mol/m,0,,0.8718745708465576,UNCHECKED,mmol/ml,45756941,mmol/ml,Qualifier Value,SNOMED,3316311000001109,19700101,20991231,,Unit,
[MPL'U],Cardiolipin IgM Units [MPL Units],0,,0.33660975098609924,UNCHECKED,IgM phospholipid unit,9101,IgM phospholipid unit,Unit,UCUM,[MPL'U],19700101,20991231,,Unit,
mps,mps,0,,0.22471927106380463,UNCHECKED,anti-phosphatidylserine IgM concentration (MPS) unit,8495,anti-phosphatidylserine IgM concentration (MPS) unit,Unit,UCUM,[MPS'U],19700101,20991231,,Unit,
10*6/L,Million Units per Liter,0,,0.8183664083480835,UNCHECKED,Million unit per liter,45890995,Million unit per liter,Unit,UCUM,10*6.[U]/mL,19700101,20991231,,Unit,
10*6/mL,Million Units per Milliliter,0,,0.7337499856948853,UNCHECKED,unit per milliliter,8763,unit per milliliter,Unit,UCUM,[U]/mL,19700101,20991231,,Unit,
nm,Nanometers,0,,0.8992829322814941,UNCHECKED,nanometer,8577,nanometer,Unit,UCUM,nm,19700101,20991231,,Unit,
ng,Nanograms,0,,0.80764240026474,UNCHECKED,nanogram,9600,nanogram,Unit,UCUM,ng,19700101,20991231,,Unit,
ng/L,Nanograms per Liter,0,,0.7424816489219666,UNCHECKED,nanogram per liter,8725,nanogram per liter,Unit,UCUM,ng/L,19700101,20991231,,Unit,
ng/dL,Nanograms per Deciliter,0,,0.7999105453491211,UNCHECKED,nanogram per deciliter,8817,nanogram per deciliter,Unit,UCUM,ng/dL,19700101,20991231,,Unit,
ng/mL,Nanograms per Milliliter,0,,0.8195345997810364,UNCHECKED,nanogram per milliliter,8842,nanogram per milliliter,Unit,UCUM,ng/mL,19700101,20991231,,Unit,
ng/mg,Nanograms per Milligram,0,,0.7853991985321045,UNCHECKED,nanogram per milligram,8818,nanogram per milligram,Unit,UCUM,ng/mg,19700101,20991231,,Unit,
nmol,Nanomoles,0,,0.9360231757164001,APPROVED,nanomole,9607,nanomole,Unit,UCUM,nmol,19700101,20991231,,Unit,
nmol/g,Nanomoles per Gram,0,,0.8769841194152832,UNCHECKED,nanomole per gram,9609,nanomole per gram,Unit,UCUM,nmol/g,19700101,20991231,,Unit,
Ohm,Ohm,0,,1.0,APPROVED,ohm,9618,ohm,Unit,UCUM,Ohm,19700101,20991231,,Unit,
[oz_av],Ounce,0,,0.40414494276046753,UNCHECKED,kilocalories per ounce,9528,kilocalories per ounce,Unit,UCUM,kcal/[oz_av],19700101,20991231,,Unit,
packet,Packet,0,,0.6681100130081177,UNCHECKED,pack,45756954,pack,Qualifier Value,SNOMED,3318211000001100,19700101,20991231,,Unit,
patch,Patch,0,,0.06412463635206223,UNCHECKED,homeopathic potency of decimal series,9325,homeopathic potency of decimal series,Unit,UCUM,[hp_X],19700101,20991231,,Unit,
pf,Puff,0,,0.05644599348306656,UNCHECKED,signal to cutoff ratio,8779,signal to cutoff ratio,Unit,UCUM,{signal}/[{CO'ratio}],19700101,20991231,,Unit,
pg,Picogram,0,,1.0,APPROVED,picogram,8564,picogram,Unit,UCUM,pg,19700101,20991231,,Unit,
pg/dL,Picograms per Deciliter,0,,0.8031578660011292,UNCHECKED,picogram per deciliter,8820,picogram per deciliter,Unit,UCUM,pg/dL,19700101,20991231,,Unit,
pg/mL,Picograms per Milliliter,0,,0.822058379650116,UNCHECKED,picogram per milliliter,8845,picogram per milliliter,Unit,UCUM,pg/mL,19700101,20991231,,Unit,
[ppb],Parts per Billion,0,,1.0,APPROVED,parts per billion,8703,parts per billion,Unit,UCUM,[ppb],19700101,20991231,,Unit,
[ppm],Parts per Million,0,,1.0,APPROVED,parts per million,9387,parts per million,Unit,UCUM,[ppm],19700101,20991231,,Unit,
scp,Scoops,0,,0.16926555335521698,UNCHECKED,score,44777566,score,Unit,UCUM,[score],19700101,20991231,,Unit,
s,Second,0,,1.0,APPROVED,second,9212,second,Unit,UCUM,'',19700101,20991231,,Unit,
spray,Spray,0,,0.4998481869697571,UNCHECKED,gray,9519,gray,Unit,UCUM,Gy,19700101,20991231,,Unit,
supp,Suppository(ies),0,,0.14566409587860107,UNCHECKED,percent positive,9231,percent positive,Unit,UCUM,%{positive},19700101,20991231,,Unit,
U/(2.h),Units per 2 Hours,0,,0.561131477355957,UNCHECKED,unit per 24 hours,44777567,unit per 24 hours,Unit,UCUM,[U]/(24.h),19700101,20991231,,Unit,
u[iU]/mL,MicroInternational Units per Milliliter,0,,0.7879036664962769,UNCHECKED,international unit per milliliter,8985,international unit per milliliter,Unit,UCUM,[iU]/mL,19700101,20991231,,Unit,
u[iU]/L,MicroInternational Units per Liter,0,,0.7106876373291016,UNCHECKED,international unit per liter,8923,international unit per liter,Unit,UCUM,[iU]/L,19700101,20991231,,Unit,
uU/mL,MicroUnits per Milliliter,0,,0.8534148931503296,UNCHECKED,microunit per milliliter,8860,microunit per milliliter,Unit,UCUM,10*-6.[U]/mL,19700101,20991231,,Unit,
ug/g,Micrograms per Gram,0,,0.7212501764297485,UNCHECKED,microgram per gram,8720,microgram per gram,Unit,UCUM,ug/g,19700101,20991231,,Unit,
ug/l dup,Micrograms per Liter dup,0,,0.659653902053833,UNCHECKED,microgram per liter,8748,microgram per liter,Unit,UCUM,ug/L,19700101,20991231,,Unit,
ug/mL dup,Micrograms per Milliliter dup,0,,0.7431443333625793,UNCHECKED,microgram per milliliter,8859,microgram per milliliter,Unit,UCUM,ug/mL,19700101,20991231,,Unit,
ug/mg,Micrograms per Milligram,0,,0.7910314202308655,UNCHECKED,microgram per milligram,8838,microgram per milligram,Unit,UCUM,ug/mg,19700101,20991231,,Unit,
ug/min,Micrograms per Minute,0,,0.7834357023239136,UNCHECKED,microgram per minute,8774,microgram per minute,Unit,UCUM,ug/min,19700101,20991231,,Unit,
ug/ml dup,Micrograms per Milliliter dup,0,,0.7431443333625793,UNCHECKED,microgram per milliliter,8859,microgram per milliliter,Unit,UCUM,ug/mL,19700101,20991231,,Unit,
uL,Microliter,0,,1.0,APPROVED,microliter,9665,microliter,Unit,UCUM,uL,19700101,20991231,,Unit,
umol/L,Micromoles per Liter,0,,0.8712328672409058,UNCHECKED,micromole per liter,8749,micromole per liter,Unit,UCUM,umol/L,19700101,20991231,,Unit,
wbc,White Blood Cells,0,,0.8298741579055786,UNCHECKED,percent of white blood cells,9229,percent of white blood cells,Unit,UCUM,%{of'WBC},19700101,20991231,,Unit,
wk,Week,0,,1.0,APPROVED,week,8511,week,Unit,UCUM,wk,19700101,20991231,,Unit,
a,Year,0,,1.0,APPROVED,year,9448,year,Unit,UCUM,a,19700101,20991231,,Unit,
NULL,NULL,0,,0.12140908092260361,UNCHECKED,minute,9211,minute,Unit,UCUM,',19700101,20991231,,Unit,
Not Mapped,Not Mapped,0,,0.16753502190113068,UNCHECKED,knot (international),9341,knot (international),Unit,UCUM,[kn_i],19700101,20991231,,Unit,
Unknown/Invalid,Unknown/Invalid,0,,0.13623501360416412,UNCHECKED,township,9417,township,Unit,UCUM,[twp],19700101,20991231,,Unit,
1/2Day,1/2 Day,0,,0.3563099205493927,UNCHECKED,day,8512,day,Unit,UCUM,d,19700101,20991231,,Unit,
Band(s),Band(s),0,,0.17581424117088318,UNCHECKED,bandage,45756986,bandage,Qualifier Value,SNOMED,8091811000001107,19700101,20991231,,Unit,
Carton,Carton,0,,1.0,APPROVED,carton,45756944,carton,Qualifier Value,SNOMED,3317011000001109,19700101,20991231,,Unit,
Casts,Casts,0,,0.18454709649085999,UNCHECKED,plaster,45756969,plaster,Qualifier Value,SNOMED,3320711000001102,19700101,20991231,,Unit,
Chip,Chip,0,,0.2756410241127014,UNCHECKED,township,9417,township,Unit,UCUM,[twp],19700101,20991231,,Unit,
Copies,Copies,0,,0.6609109044075012,UNCHECKED,copies per liter,44777570,copies per liter,Unit,UCUM,{copies}/L,19700101,20991231,,Unit,
[degF],Degree Fahrenheit,0,,0.9992946982383728,APPROVED,degree Fahrenheit,9289,degree Fahrenheit,Unit,UCUM,[degF],19700101,20991231,,Unit,
Flush,Flush,0,,0.27957281470298767,UNCHECKED,bushel (US),9271,bushel (US),Unit,UCUM,[bu_us],19700101,20991231,,Unit,
Hz,Hertz,0,,1.0,APPROVED,Hertz,9521,Hertz,Unit,UCUM,Hz,19700101,20991231,,Unit,
Instill,Instill,0,,0.5520970821380615,UNCHECKED,pastille,45756955,pastille,Qualifier Value,SNOMED,3318311000001108,19700101,20991231,,Unit,
M/mm,M/mm not active,0,,0.20327629148960114,UNCHECKED,percent activity,8687,percent activity,Unit,UCUM,%{activity},19700101,20991231,,Unit,
MMG/GM,MMG/GM not active,0,,0.17564213275909424,UNCHECKED,percent activity,8687,percent activity,Unit,UCUM,%{activity},19700101,20991231,,Unit,
PWDP,Powder,0,,0.22367683053016663,UNCHECKED,horsepower,9323,horsepower,Unit,UCUM,[HP],19700101,20991231,,Unit,
cL,Centiliter,0,,1.0,APPROVED,centiliter,9482,centiliter,Unit,UCUM,cL,19700101,20991231,,Unit,
cg,Centigram,0,,1.0,APPROVED,centigram,9479,centigram,Unit,UCUM,cg,19700101,20991231,,Unit,
dL,Deciliter,0,,1.0,APPROVED,deciliter,9486,deciliter,Unit,UCUM,dL,19700101,20991231,,Unit,
dg,Decigram,0,,1.0,APPROVED,decigram,9485,decigram,Unit,UCUM,dg,19700101,20991231,,Unit,
dm,Decimeter,0,,1.0,APPROVED,decimeter,9487,decimeter,Unit,UCUM,dm,19700101,20991231,,Unit,
dm2,Square Decimeter,0,,0.7706007957458496,UNCHECKED,square meter,8617,square meter,Unit,UCUM,m2,19700101,20991231,,Unit,
g/day REMOVE,Grams per Day REMOVE,0,,0.35157790780067444,UNCHECKED,day,8512,day,Unit,UCUM,d,19700101,20991231,,Unit,
g/mL,Grams per Milliliter,0,,0.7753572463989258,UNCHECKED,gram per milliliter,9514,gram per milliliter,Unit,UCUM,g/mL,19700101,20991231,,Unit,
g/kg,Grams per Kilogram,0,,0.8383560180664062,UNCHECKED,per kilogram,9252,per kilogram,Unit,UCUM,/kg,19700101,20991231,,Unit,
g/m2,Grams per Square meter,0,,0.8226316571235657,UNCHECKED,gram per square meter,9513,gram per square meter,Unit,UCUM,g/m2,19700101,20991231,,Unit,
in2,Square Inch,0,,1.0,APPROVED,square inch,9404,square inch,Unit,UCUM,[sin_i],19700101,20991231,,Unit,
[IU]/kg,International Unit per Kilogram,0,,0.9973543286323547,APPROVED,international unit per kilogram,9335,international unit per kilogram,Unit,UCUM,[iU]/kg,19700101,20991231,,Unit,
M/U L,Molar per Unit Liter,0,,0.6054323315620422,UNCHECKED,unit per liter,8645,unit per liter,Unit,UCUM,[U]/L,19700101,20991231,,Unit,
mM/kg,mM/kg,0,,0.08937875181436539,UNCHECKED,gram/gram,45756924,gram/gram,Qualifier Value,SNOMED,10692711000001101,19700101,20991231,,Unit,
ug/cc,Micrograms per Cubic Centimeter,0,,0.7031034231185913,UNCHECKED,gram per cubical centimeter,45956701,gram per cubical centimeter,Unit,UCUM,g/cm3,19700101,20991231,,Unit,
ug/kg,Micrograms per Kilogram,0,,0.8051537871360779,UNCHECKED,microgram per kilogram,9662,microgram per kilogram,Unit,UCUM,ug/kg,19700101,20991231,,Unit,
ug/kg/min,Micrograms per Kilogram per Minute,0,,0.7670714259147644,UNCHECKED,microgram per kilogram,9662,microgram per kilogram,Unit,UCUM,ug/kg,19700101,20991231,,Unit,
ug/m2,Micrograms per Square Meter,0,,0.8572263121604919,UNCHECKED,microgram per square meter,9663,microgram per square meter,Unit,UCUM,ug/m2,19700101,20991231,,Unit,
mg/16h,Milligrams per 16 Hours,0,,0.8678890466690063,UNCHECKED,milligram per 16 hours,45891021,milligram per 16 hours,Unit,UCUM,mg/(16.h),19700101,20991231,,Unit,
mg/70 kg,Milligrams per 70 Kilograms,0,,0.6088977456092834,UNCHECKED,milligram per kilogram,9562,milligram per kilogram,Unit,UCUM,mg/kg,19700101,20991231,,Unit,
mg/cc,Milligrams per Cubic Centimeter,0,,0.7497669458389282,UNCHECKED,milligram per cubic meter,9564,milligram per cubic meter,Unit,UCUM,mg/m3,19700101,20991231,,Unit,
mg/kg/day,Milligrams per Kilogram per Day,0,,0.7980908155441284,UNCHECKED,milligram per kilogram,9562,milligram per kilogram,Unit,UCUM,mg/kg,19700101,20991231,,Unit,
mg/m2,Milligrams per Square Meter,0,,0.8637434840202332,UNCHECKED,milligram per square meter,9563,milligram per square meter,Unit,UCUM,mg/m2,19700101,20991231,,Unit,
mg/m2/day,Milligrams per Square Meter per Day,0,,0.7938033938407898,UNCHECKED,milligram per square meter,9563,milligram per square meter,Unit,UCUM,mg/m2,19700101,20991231,,Unit,
mg/min,Milligrams per Minute,0,,0.7978734970092773,UNCHECKED,milligram per minute,44777611,milligram per minute,Unit,UCUM,mg/min,19700101,20991231,,Unit,
million units REMOVE,million units REMOVE,0,,0.723305344581604,UNCHECKED,Million unit,9689,Million unit,Unit,UCUM,10*6.[U],19700101,20991231,,Unit,
mL/cm H2O,Milliliter per Centimeter Water,0,,0.6524593234062195,UNCHECKED,milliliter per milliliter,45891033,milliliter per milliliter,Unit,UCUM,mL/mL,19700101,20991231,,Unit,
mo,Month,0,,1.0,APPROVED,month,9580,month,Unit,UCUM,mo,19700101,20991231,,Unit,
once,Once,0,,0.36446669697761536,UNCHECKED,lancet,45756949,lancet,Qualifier Value,SNOMED,3317611000001102,19700101,20991231,,Unit,
tr,Titrate,0,,0.3487693965435028,UNCHECKED,gram of total nitrate,44777598,gram of total nitrate,Unit,UCUM,g{tot'nit},19700101,20991231,,Unit,
U/kg,Units per Kilogram,0,,0.8403860926628113,UNCHECKED,per kilogram,9252,per kilogram,Unit,UCUM,/kg,19700101,20991231,,Unit,
U/kg/day,Units per Kilogram per Day,0,,0.751066267490387,UNCHECKED,gram per kilogram,9512,gram per kilogram,Unit,UCUM,g/kg,19700101,20991231,,Unit,
U/m2,Units per Square Meter,0,,0.8478214144706726,UNCHECKED,per square meter,9255,per square meter,Unit,UCUM,/m2,19700101,20991231,,Unit,
ug/nL,Micrograms per Nanoliter,0,,0.6694923639297485,UNCHECKED,microgram per nanogram,9664,microgram per nanogram,Unit,UCUM,ug/ng,19700101,20991231,,Unit,
mmol/kg,Millimoles per Kilogram,0,,0.930759072303772,APPROVED,millimole per kilogram,9577,millimole per kilogram,Unit,UCUM,mmol/kg,19700101,20991231,,Unit,
kg/sec,Kilograms per Second,0,,0.6520960927009583,UNCHECKED,kilogram,9529,kilogram,Unit,UCUM,kg,19700101,20991231,,Unit,
m3,Cubic Meter,0,,0.8954115509986877,UNCHECKED,per cubic meter,44777558,per cubic meter,Unit,UCUM,/m3,19700101,20991231,,Unit,
pH units,pH Units,0,,0.46490421891212463,UNCHECKED,unit,45756942,unit,Qualifier Value,SNOMED,3316411000001102,19700101,20991231,,Unit,
kCal/day,Kilocalories per Day,0,,0.7241036295890808,UNCHECKED,kilocalories per ounce,9528,kilocalories per ounce,Unit,UCUM,kcal/[oz_av],19700101,20991231,,Unit,
mg/mL,Milligrams per Milliliter,0,,0.7791555523872375,UNCHECKED,milligram per milliliter,8861,milligram per milliliter,Unit,UCUM,mg/mL,19700101,20991231,,Unit,
AUC,Area Under the Curve,0,,0.26586416363716125,UNCHECKED,EIA unit,8556,EIA unit,Unit,UCUM,[EIA'U],19700101,20991231,,Unit,
Bethesda Units,Bethesda Units,0,,0.9534387588500977,APPROVED,Bethesda unit,9161,Bethesda unit,Unit,UCUM,[beth'U],19700101,20991231,,Unit,
BMI,Body Mass Index,0,,0.28009092807769775,UNCHECKED,avidity index,8478,avidity index,Unit,UCUM,{ai},19700101,20991231,,Unit,
[GPL'U],Cardiolipin IgG Units [GPL Units],0,,0.30828118324279785,UNCHECKED,IgG phospholipid unit,9100,IgG phospholipid unit,Unit,UCUM,[GPL'U],19700101,20991231,,Unit,
[APL'U],Cardiolipin IgA Units [APL Units],0,,0.3519836664199829,UNCHECKED,IgA phospholipid unit,9099,IgA phospholipid unit,Unit,UCUM,[APL'U],19700101,20991231,,Unit,
[CFU],Colony Forming Units,0,,0.9498293995857239,APPROVED,colony forming unit,9278,colony forming unit,Unit,UCUM,[CFU],19700101,20991231,,Unit,
[CFU]/g,Colony Forming Units per Gram of Tissue,0,,0.738128662109375,UNCHECKED,colony forming unit,9278,colony forming unit,Unit,UCUM,[CFU],19700101,20991231,,Unit,
[CFU]/mL,Colony Forming Units per Milliliter,0,,0.9030617475509644,UNCHECKED,colony forming unit per milliliter,9423,colony forming unit per milliliter,Unit,UCUM,[CFU]/mL,19700101,20991231,,Unit,
m3/sec,Cubic Meter per Second,0,,0.9039230942726135,UNCHECKED,cubical meter per second,44777523,cubical meter per second,Canonical Unit,UCUM,m3.s-1,19700101,20991231,,Unit,
deg,Degree,0,,1.0,APPROVED,degree,9484,degree,Unit,UCUM,deg,19700101,20991231,,Unit,
dils,Dilutions,0,,0.1030864492058754,UNCHECKED,nautical mile (international),9371,nautical mile (international),Unit,UCUM,[nmi_i],19700101,20991231,,Unit,
$,Dollars,0,,0.3755744397640228,UNCHECKED,roll,45756959,roll,Qualifier Value,SNOMED,3318811000001104,19700101,20991231,,Unit,
Dozen,Dozen,0,,0.09603624045848846,UNCHECKED,per 100 spermatozoa,9244,per 100 spermatozoa,Unit,UCUM,/100.{sperm},19700101,20991231,,Unit,
{EhrlichU}/(24.h),Ehrlich Unit per 24 Hours,0,,0.7509946227073669,UNCHECKED,Ehrlich unit,8480,Ehrlich unit,Unit,UCUM,[EU],19700101,20991231,,Unit,
{EhrlichU}/(2.h),Ehrlich Unit per 2 Hours,0,,0.7765532732009888,UNCHECKED,Ehrlich unit,8480,Ehrlich unit,Unit,UCUM,[EU],19700101,20991231,,Unit,
F,Farenheit,0,,0.5602295398712158,UNCHECKED,degree Fahrenheit,9289,degree Fahrenheit,Unit,UCUM,[degF],19700101,20991231,,Unit,
genomes/mL,Genomes per Milliliter,0,,0.7835232615470886,UNCHECKED,per milliliter,9257,per milliliter,Unit,UCUM,/mL,19700101,20991231,,Unit,
g/kg/day,Grams per Kilogram per Day,0,,0.749711275100708,UNCHECKED,gram per kilogram,9512,gram per kilogram,Unit,UCUM,g/kg,19700101,20991231,,Unit,
g/vol,Grams per Volume,0,,0.5579938292503357,UNCHECKED,milligram per volume,9561,milligram per volume,Unit,UCUM,mg/{vol},19700101,20991231,,Unit,
Gross,Gross,0,,0.16096872091293335,UNCHECKED,gram,8504,gram,Unit,UCUM,g,19700101,20991231,,Unit,
[IU]/dL,International Unit per Deciliter,0,,0.9866253137588501,APPROVED,international unit per deciliter,9332,international unit per deciliter,Unit,UCUM,[iU]/dL,19700101,20991231,,Unit,
[IU]/h,International Unit per Hour,0,,0.9959751963615417,APPROVED,international unit per hour,9687,international unit per hour,Unit,UCUM,[iU]/h,19700101,20991231,,Unit,
[iU]/m2,International Unit per Square Meter,0,,0.7656980156898499,UNCHECKED,per square meter,9255,per square meter,Unit,UCUM,/m2,19700101,20991231,,Unit,
[iU]/vol,International Unit per Volume,0,,0.7116264700889587,UNCHECKED,international unit per liter,8923,international unit per liter,Unit,UCUM,[iU]/L,19700101,20991231,,Unit,
K,Kelvin,0,,1.0,APPROVED,kelvin,9523,kelvin,Unit,UCUM,K,19700101,20991231,,Unit,
kCal/L,Kilocalories per Liter,0,,0.7519362568855286,UNCHECKED,kilocalories per ounce,9528,kilocalories per ounce,Unit,UCUM,kcal/[oz_av],19700101,20991231,,Unit,
kg/m3,Kilograms per Cubic Meter,0,,0.8548740148544312,UNCHECKED,kilogram per cubic meter,9532,kilogram per cubic meter,Unit,UCUM,kg/m3,19700101,20991231,,Unit,
kg/h,Kilograms per Hour,0,,0.6579268574714661,UNCHECKED,kilogram,9529,kilogram,Unit,UCUM,kg,19700101,20991231,,Unit,
kg/min,Kilograms per Minute,0,,0.6432420015335083,UNCHECKED,kilogram,9529,kilogram,Unit,UCUM,kg,19700101,20991231,,Unit,
L/day,Liters per Day,0,,0.47324734926223755,UNCHECKED,day,8512,day,Unit,UCUM,d,19700101,20991231,,Unit,
ugEq/mL,Micrograms Equivalents per Milliliter,0,,0.8331398367881775,UNCHECKED,microgram equivalent per milliliter,9046,microgram equivalent per milliliter,Unit,UCUM,ug{eq}/mL,19700101,20991231,,Unit,
ug/gm dup,Micrograms per Gram dup,0,,0.6582983136177063,UNCHECKED,microgram per gram,8720,microgram per gram,Unit,UCUM,ug/g,19700101,20991231,,Unit,
ug/kg/day,Micrograms per Kilogram per Day,0,,0.7766983509063721,UNCHECKED,microgram per kilogram,9662,microgram per kilogram,Unit,UCUM,ug/kg,19700101,20991231,,Unit,
ug/kg/h,Micrograms per Kilogram per Hour,0,,0.8550087809562683,UNCHECKED,microgram per kilogram per hour,9690,microgram per kilogram per hour,Unit,UCUM,ug/kg/h,19700101,20991231,,Unit,
meq/kg/day,Milliequivalents per Kilogram per Day,0,,0.8716056942939758,UNCHECKED,milliequivalent per kilogram,9556,milliequivalent per kilogram,Unit,UCUM,10*-3.eq/kg,19700101,20991231,,Unit,
meq/kg/min,Milliequivalents per Kilogram per Minute,0,,0.8644186854362488,UNCHECKED,milliequivalent per kilogram,9556,milliequivalent per kilogram,Unit,UCUM,10*-3.eq/kg,19700101,20991231,,Unit,
meq/dL,Milliequivalents per Deciliter,0,,0.9305590391159058,UNCHECKED,milliequivalent per deciliter,9553,milliequivalent per deciliter,Unit,UCUM,10*-3.eq/dL,19700101,20991231,,Unit,
meq/h,Milliequivalents per Hour,0,,0.8501293063163757,UNCHECKED,milliequivalent,9551,milliequivalent,Unit,UCUM,10*-3.eq,19700101,20991231,,Unit,
meq/kg/h,Milliequivalents per Kilogram per Hour,0,,0.8714204430580139,UNCHECKED,milliequivalent per kilogram,9556,milliequivalent per kilogram,Unit,UCUM,10*-3.eq/kg,19700101,20991231,,Unit,
meq/mL,Milliequivalents per Milliliter,0,,0.8946908116340637,UNCHECKED,milliequivalent per milliliter,9559,milliequivalent per milliliter,Unit,UCUM,10*-3.eq/mL,19700101,20991231,,Unit,
meq/m2,Milliequivalents per Square Meter,0,,0.9425768852233887,APPROVED,milliequivalent per square meter,9558,milliequivalent per square meter,Unit,UCUM,10*-3.eq/m2,19700101,20991231,,Unit,
mg/kg/day dup,Milligrams per Kilogram per Day - not active,0,,0.6717512011528015,UNCHECKED,milligram per kilogram,9562,milligram per kilogram,Unit,UCUM,mg/kg,19700101,20991231,,Unit,
mg/kg/h,Milligrams per Kilogram per Hour,0,,0.8653111457824707,UNCHECKED,milligram per kilogram per hour,9691,milligram per kilogram per hour,Unit,UCUM,mg/kg/h,19700101,20991231,,Unit,
mg/72r,Milligrams per 72 Hours,0,,0.887458086013794,UNCHECKED,milligram per 72 hours,45891022,milligram per 72 hours,Unit,UCUM,mg/(72.h),19700101,20991231,,Unit,
mL/kg/day,Milliliters per Kilogram per Day,0,,0.7974388599395752,UNCHECKED,milliliter per kilogram,9571,milliliter per kilogram,Unit,UCUM,mL/kg,19700101,20991231,,Unit,
mL/kg/h,Milliliters per Kilogram per Hour,0,,0.7972000241279602,UNCHECKED,milliliter per kilogram,9571,milliliter per kilogram,Unit,UCUM,mL/kg,19700101,20991231,,Unit,
mL/kg/min,Milliliters per Kilogram per Minute,0,,0.7887734770774841,UNCHECKED,milliliter per kilogram,9571,milliliter per kilogram,Unit,UCUM,mL/kg,19700101,20991231,,Unit,
MoM,Multiple of the Median,0,,0.9993045926094055,APPROVED,multiple of the median,8494,multiple of the median,Unit,UCUM,{MOM},19700101,20991231,,Unit,
ng/(24.h),Nanograms per 24 Hours,0,,0.8457356095314026,UNCHECKED,nanogram per 24 hours,44777624,nanogram per 24 hours,Unit,UCUM,ng/(24.h),19700101,20991231,,Unit,
