source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
{index_val},0,JNJ_CERNER_UNITS,Index Value,0,,1970-01-01,2099-12-31,
IgG/PL,0,JNJ_CERNER_UNITS,IgG per Platelet,0,,1970-01-01,2099-12-31,
IgG/RC,0,JNJ_CERNER_UNITS,IgG/RC,0,,1970-01-01,2099-12-31,
{index_val},0,JNJ_CERNER_UNITS,Index,0,,1970-01-01,2099-12-31,
Inj,0,JNJ_CERNER_UNITS,Injection,0,,1970-01-01,2099-12-31,
Jar,0,JNJ_CERNER_UNITS,Jar,0,,1970-01-01,2099-12-31,
10*3,0,JNJ_CERNER_UNITS,Thousand,8566,UCUM,1970-01-01,2099-12-31,
K/L,0,JNJ_CERNER_UNITS,Thousand per Liter,9435,UCUM,1970-01-01,2099-12-31,
K/mm3,0,JNJ_CERNER_UNITS,Thousand per Cubic Millimeter,8961,UCUM,1970-01-01,2099-12-31,
10*3/uL,0,JNJ_CERNER_UNITS,Thousand per Microliter,8848,UCUM,1970-01-01,2099-12-31,
KIU/L,0,JNJ_CERNER_UNITS,Thousand International Unit per Liter,0,,1970-01-01,2099-12-31,
Kit,0,JNJ_CERNER_UNITS,Kit,0,,1970-01-01,2099-12-31,
L,0,JNJ_CERNER_UNITS,Liter,8519,UCUM,1970-01-01,2099-12-31,
L/min,0,JNJ_CERNER_UNITS,Liters per Minute,0,,1970-01-01,2099-12-31,
L/sec,0,JNJ_CERNER_UNITS,Liters per Second,0,,1970-01-01,2099-12-31,
{Lyme_index_value},0,JNJ_CERNER_UNITS,Lyme Index Value,44777565,UCUM,1970-01-01,2099-12-31,
m/uL,0,JNJ_CERNER_UNITS,Moles per MicroLiter,0,,1970-01-01,2099-12-31,
mg/L,0,JNJ_CERNER_UNITS,Milligrams per Liter,0,,1970-01-01,2099-12-31,
10*6/mL,0,JNJ_CERNER_UNITS,Million per Milliliter,8816,UCUM,1970-01-01,2099-12-31,
MILC,0,JNJ_CERNER_UNITS,Mixed Leukocyte Culture,0,,1970-01-01,2099-12-31,
m[IU]/mL,0,JNJ_CERNER_UNITS,MilliInternational Units per Milliliter,0,,1970-01-01,2099-12-31,
MMO,0,JNJ_CERNER_UNITS,MMO,0,,1970-01-01,2099-12-31,
MPS,0,JNJ_CERNER_UNITS,Millipoise,0,,1970-01-01,2099-12-31,
10*6,0,JNJ_CERNER_UNITS,Million Units,9689,UCUM,1970-01-01,2099-12-31,
nmol/L,0,JNJ_CERNER_UNITS,Nanomoles per Liter,8736,UCUM,1970-01-01,2099-12-31,
PC,0,JNJ_CERNER_UNITS,Piece,45756973,SNOMED,1970-01-01,2099-12-31,
pmol/L,0,JNJ_CERNER_UNITS,Picomoles per Liter,8729,UCUM,1970-01-01,2099-12-31,
Package,0,JNJ_CERNER_UNITS,Package,0,,1970-01-01,2099-12-31,
Pad,0,JNJ_CERNER_UNITS,Pad,0,,1970-01-01,2099-12-31,
Pump,0,JNJ_CERNER_UNITS,Pump,0,,1970-01-01,2099-12-31,
{ratio},0,JNJ_CERNER_UNITS,Ratio,8523,UCUM,1970-01-01,2099-12-31,
Roll,0,JNJ_CERNER_UNITS,Roll,45756959,SNOMED,1970-01-01,2099-12-31,
Set,0,JNJ_CERNER_UNITS,Set,0,,1970-01-01,2099-12-31,
Spring,0,JNJ_CERNER_UNITS,Spring,0,,1970-01-01,2099-12-31,
Sq,0,JNJ_CERNER_UNITS,Square,0,,1970-01-01,2099-12-31,
Sqrt,0,JNJ_CERNER_UNITS,Squirt,0,,1970-01-01,2099-12-31,
Stick,0,JNJ_CERNER_UNITS,Stick,0,,1970-01-01,2099-12-31,
Strip,0,JNJ_CERNER_UNITS,Strip,45756962,SNOMED,1970-01-01,2099-12-31,
Syringe,0,JNJ_CERNER_UNITS,Syringe,45756963,SNOMED,1970-01-01,2099-12-31,
{tbl},0,JNJ_CERNER_UNITS,Tablet,9431,UCUM,1970-01-01,2099-12-31,
TU,0,JNJ_CERNER_UNITS,Tuberculin Units,9413,UCUM,1970-01-01,2099-12-31,
[tbs_us],0,JNJ_CERNER_UNITS,Tablespoon,9412,UCUM,1970-01-01,2099-12-31,
Test,0,JNJ_CERNER_UNITS,Test,0,,1970-01-01,2099-12-31,
Time,0,JNJ_CERNER_UNITS,Time,0,,1970-01-01,2099-12-31,
{titer},0,JNJ_CERNER_UNITS,Titer,8525,UCUM,1970-01-01,2099-12-31,
Topical,0,JNJ_CERNER_UNITS,Topical,0,,1970-01-01,2099-12-31,
[tsp_us],0,JNJ_CERNER_UNITS,Teaspoon,9416,UCUM,1970-01-01,2099-12-31,
